China_Shandong	14340
China_Shanghai	588
China_Shanxi	3368
China_Sichuan	124376
China_Tibet Autonomous Region	194412
China_Xinjiang	264384
China_Yunnan	9896
China_Zhejiang	11992
Colombia_East	68816
Colombia_North	3384
Colombia_West	4052
Comoros	2416
Congo-Brazzaville	2664
Congo-Kinshasa_Kivu	12520
Congo-Kinshasa_West	212980
Cook Islands	188
Costa Rica	8128
Cote dIvoire	484
Crimea	12616
Croatia_Central	13520
Croatia_West	6172
Cuba	13304
Cyprus	9992
Czech_Jihovychod_Jihomoravsky kraj	4888
Czech_Jihovychod_Kraj Vysocina	4792
Czech_Jihozapad_Jihocesky kraj	7572
Czech_Jihozapad_Plzensky kraj	6044
Czech_Karlovasky kraj	3076
Czech_Moravskoslezsko	5100
Czech_Olomoucky kraj	4732
Czech_Praha	300
Czech_Severovychod_Kralovehradecky kraj	3752
Czech_Severovychod_Liberecky kraj	3292
Czech_Severovychod_Pardubicky kraj	3112
Czech_Stredni Cechy_East	4136
Czech_Stredni Cechy_West	2912
Czech_Ustecky kraj	4308
Czech_Zlinsky Kraj	4552
Denmark_Capital Region of Denmark	884
Denmark_Central Denmark Region	4328
Denmark_North Denmark Region	2108
Denmark_Region of Southern Denmark	3544
Denmark_Region Zealand	2300
Djibouti	4888
Dominica	1752
Dominican Republic	10456
East Timor	3564
Ecuador_East	2192
Ecuador_West	16644
Egypt	141312
El Salvador	4580
Equatorial Guinea	5680
Eritrea	9712
Estonia_East	9088
Estonia_West	5048
Ethiopia	12064
Falkland Islands	6828
Faroe Islands	4228
Federated States of Micronesia	820
Fiji	4772
Finland_Eastern Finland_North	11496
Finland_Eastern Finland_South	13504
Finland_Northern Finland	11328
Finland_Southern Finland_Helsinki	11884
Finland_Southern Finland_Lappeenranta	9012
Finland_Southern Finland_West	10472
Finland_Western Finland_Jyvaskyla	12576
Finland_Western Finland_Tampere	5976
France_Alsace_Bas-Rhin	4004
France_Alsace_Haut-Rhin	3712
France_Aquitaine_Dordogne	7080
France_Aquitaine_Gironde	3708
France_Aquitaine_Landes	4124
France_Aquitaine_Lot-et-Garonne	3368
