China_Shanghai	588
China_Shanxi	3176
China_Sichuan	94536
China_Tibet Autonomous Region	107684
China_Xinjiang	84980
China_Yunnan	8712
China_Zhejiang	11904
Colombia_East	21772
Colombia_North	2684
Colombia_West	3020
Comoros	2060
Congo-Brazzaville	1496
Congo-Kinshasa_Kivu	7508
Congo-Kinshasa_West	134344
Cook Islands	108
Costa Rica	7168
Cote dIvoire	460
Crimea	12504
Croatia_Central	13520
Croatia_West	6040
Cuba	12608
Cyprus	9808
Czech_Jihovychod_Jihomoravsky kraj	4888
Czech_Jihovychod_Kraj Vysocina	4792
Czech_Jihozapad_Jihocesky kraj	7572
Czech_Jihozapad_Plzensky kraj	6044
Czech_Karlovasky kraj	3076
Czech_Moravskoslezsko	5100
Czech_Olomoucky kraj	4732
Czech_Praha	300
Czech_Severovychod_Kralovehradecky kraj	3752
Czech_Severovychod_Liberecky kraj	3292
Czech_Severovychod_Pardubicky kraj	3112
Czech_Stredni Cechy_East	4136
Czech_Stredni Cechy_West	2912
Czech_Ustecky kraj	4308
Czech_Zlinsky Kraj	4552
Denmark_Capital Region of Denmark	856
Denmark_Central Denmark Region	4304
Denmark_North Denmark Region	2108
Denmark_Region of Southern Denmark	3500
Denmark_Region Zealand	2252
Djibouti	3880
Dominica	1744
Dominican Republic	9908
East Timor	3464
Ecuador_East	1668
Ecuador_West	13856
Egypt	46176
El Salvador	4540
Equatorial Guinea	5308
Eritrea	4392
Estonia_East	9060
Estonia_West	5036
Ethiopia	8540
Falkland Islands	5612
Faroe Islands	3636
Federated States of Micronesia	620
Fiji	4396
Finland_Eastern Finland_North	11488
Finland_Eastern Finland_South	13492
Finland_Northern Finland	10244
Finland_Southern Finland_Helsinki	11852
Finland_Southern Finland_Lappeenranta	9004
Finland_Southern Finland_West	10432
Finland_Western Finland_Jyvaskyla	12576
Finland_Western Finland_Tampere	5976
France_Alsace_Bas-Rhin	4004
France_Alsace_Haut-Rhin	3712
France_Aquitaine_Dordogne	7080
France_Aquitaine_Gironde	3696
France_Aquitaine_Landes	4112
France_Aquitaine_Lot-et-Garonne	3368
France_Aquitaine_Pyrenees-Atlantiques	12120
France_Auvergne_Allier	3924
France_Auvergne_Cantal	7364
France_Auvergne_Haute-Loire	6020
France_Auvergne_Puy-de-Dome	7924
France_Brittany_Cotes-dArmor	3128
France_Brittany_Finistere	3404
France_Brittany_Ille-et-Vilaine	2500
France_Brittany_Morbihan	3136
France_Burgundy_Cote-dOr	5296
France_Burgundy_Nievre	4156
France_Burgundy_Saone-et-Loire	5488
France_Burgundy_Yonne	3968
France_Centre-Val de Loire_Cher	2592
France_Centre-Val de Loire_Eure-et-Loir	1548
France_Centre-Val de Loire_Indre	2344
France_Centre-Val de Loire_Indre-et-Loire	2176
France_Centre-Val de Loire_Loir-et-Cher	2232
France_Centre-Val de Loire_Loiret	2080
